Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Renta neta media por hogar;2022;34.206
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Renta neta media por hogar;2021;31.794
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Renta neta media por hogar;2020;29.323
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Renta neta media por hogar;2019;27.981
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Renta neta media por hogar;2018;28.031
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Renta neta media por hogar;2017;28.358
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Renta neta media por hogar;2016;27.105
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Renta neta media por hogar;2015;25.287
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Media de la renta por unidad de consumo;2023;22.875
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Media de la renta por unidad de consumo;2022;20.121
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Media de la renta por unidad de consumo;2021;18.646
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Media de la renta por unidad de consumo;2020;17.679
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Media de la renta por unidad de consumo;2019;16.473
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Media de la renta por unidad de consumo;2018;16.475
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Media de la renta por unidad de consumo;2017;16.347
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Media de la renta por unidad de consumo;2016;15.706
